Milow;Ayo Technology (Radio Edit);3:24;5
Kelly Clarkson;Already Gone;4:34;9
Papa D;Wyspa;3:53;12
Anggun;My Man;3:34;8
Antoine Clamaran;Gold;3:33;10
Kasia Kowalska;Maskarada;3:18;15
Mini Viva;Left My Heart In Tokyo;3:43;12
Pussycat Dolls;Hush Hush, Hush Hush;4:6;16
Kindla;Gdy Jestes (Wszystko Mozliwe);3:10;11
Inner Circle;Sugar Sugar (Candy Girl);3:32;14
Reamon;Moments Like This (Radio Version);3:36;14
Gorzki Feat Torzewscy;Zapomnij;3:44;11
Jordin Sparks;Battlefield;3:49;16
Eva & The Heartmaker;Superhero;3:44;14
Zikoo;Studenckie Lato (Reggae);3:15;11
Alcazar;We Keep On Rockin (Radio Edit);3:34;15
Jem;And So I Pray;2:31;11
Urszula;Wstaje Nowy Dzień;3:46;11
Mika;We Are Golden (Radio Edit);3:23;21
Noisettes;Never Forget You;3:7;17
Stereo;Jak w Niebie;3:55;12
Pearl Jam;The Fixer;2:48;11
Beyonce;Sweet Dreams;3:17;15
Kto To;Spelni Się To Co Niemożliwe;3:49;11
Snow Patrol;If There's Rocket Then Tie Me To It;4:12;11
Death Cab For Cutie;Little Bribes;2:41;11
Andrzej Piaseczny;Rysowane Tobie;3:45;18
RIO;After The Love (Radio Edit);3:32;12
Eddy Wata;My Dream (Radio Edit);3:19;11
Sasha;To Nic Kiedy Płyną Łzy;3:30;15
Frank Ti Aya Ft Kate Styles;Freedom;2:45;11
Shakira;She Wolf;3:5;21
Sylvia;W Pożegnaniach;3:40;11
Melanie Fiona;Give It To Me Right;3:33;11
Kristinia Debarge;Goodbye;3:24;15
Paulla;I Prosto W Serce;3:4;20
Funk Providers;Little Fantasy (Radio Mix);3:32;11
White Lies;Death;4:48;14
Kasa;Powiedz Gdzie Jesteś;3:21;16
El Sueno De Morfeo;Si No Estas;2:58;11
Eminem;Beautifu;3:53;11
Kindla;Gdy Jestes;3:10;11
The Enemy;Sing When You're In Love;3:35;13
Nelly Furtado;Manos Al Aire;3:21;17
Doda;Dziekuje;4:36;11
Yeah Yeah Yeahs;Heads Will Roll;3:40;14
Billy Talent;Rusted From The Rain;4:8;11
Sławek Wierzcholski;Stoję Na Moście;3:2;11
Wilco;Bull Black Nova;5:26;11
Wet Fingers;E-Samba;2:57;11
Maria Sadowska;Rewolucja;3:55;11
The Rasmus;Justify(Radio Edit);3:53;12
Jennifer Kae;Do You Love Me;3:29;11
Roan;Podnieś Głowę;2:58;11
Matt Bianco;Hi-Fi  Bossanova;4:4;11
Infernal;Whenever You Need Me(radio edit);3:49;11
Maleo Reagge Rockers;Reggae;3:30;15
EMD;Jennie Let Me Love You;3:1;12
Colbie Caillat;Fallin' For You;3:30;11
Pin;Wino i Śpiew;2:59;15
Uncle Kraker;Smile;3:16;12
Paolo Nutini;Coming Up Easy;4:4;13
TLove;Prawdziwe Życie;4:18;14
The Script;Before the Worst;3:12;11
Keo;Falling High;3:10;11
Iwona Węgrowska;Kiedyś Zapomne;3:53;14
Graziella Shazad;Look At Me;3:4;11
Chickenfoot;Oh Yeah;4:51;11
Krzysztof Krawczyk;Warto Żyć (Album Version);4:25;12
Pixie Lott;Mama Do;3:14;12
Joshua Radin;I'd Rather Be With You;2:43;18
Ewa Farna;Cicho;3:21;17
Green Day;21 Guns;4:32;14
Daniel Merriweather;Red;3:47;11
Andrzej Piaseczny;Chodź, Przytul, Przebacz;3:49;17
Chairlift;Bruises;3:56;11
Cascada;Evauate The Dancefloor (Radio Edit);3:25;11
Ira;Dobry Czas;3:2;10
Alec Gaudino vs Simply Red;Money's Too Tight;3:19;12
Sharam ft Kid Cudi;She Came Along;3:11;12
Press;Wszystko Warte Ciebie;3:38;11
Shaggy feat Gary Nesta Pine;Fly High;3:24;11
Seal;If You Don't Know Me By Now;3:41;11
Kayah i Borysewicz;Noszę Spodnie Kiedy Chcę;3:15;14
